"행정구역","2026년06월_계_총인구수","2026년06월_계_연령구간인구수","2026년06월_계_0세","2026년06월_계_1세","2026년06월_계_2세","2026년06월_계_3세","2026년06월_계_4세","2026년06월_계_5세","2026년06월_남_총인구수","2026년06월_남_연령구간인구수","2026년06월_남_0세","2026년06월_남_1세","2026년06월_남_2세","2026년06월_남_3세","2026년06월_남_4세","2026년06월_남_5세","2026년06월_여_총인구수","2026년06월_여_연령구간인구수","2026년06월_여_0세","2026년06월_여_1세","2026년06월_여_2세","2026년06월_여_3세","2026년06월_여_4세","2026년06월_여_5세"
"서울특별시  (1100000000)","9,289,813","248,533","47,447","41,798","37,057","38,917","40,473","42,841","4,471,801","127,354","24,308","21,420","18,946","19,881","20,752","22,047","4,818,012","121,179","23,139","20,378","18,111","19,036","19,721","20,794"
"서울특별시 종로구 (1111000000)","136,318","2,667","454","451","399","422","481","460","65,255","1,386","230","242","208","215","256","235","71,063","1,281","224","209","191","207","225","225"
"서울특별시 종로구 청운효자동(1111051500)","10,682","245","39","36","45","31","43","51","4,837","124","18","18","25","15","21","27","5,845","121","21","18","20","16","22","24"
"서울특별시 종로구 사직동(1111053000)","8,874","190","17","34","24","40","40","35","3,917","98","9","17","11","22","20","19","4,957","92","8","17","13","18","20","16"
"서울특별시 종로구 삼청동(1111054000)","2,048","36","8","5","4","5","7","7","966","19","4","4","0","3","5","3","1,082","17","4","1","4","2","2","4"
"서울특별시 종로구 부암동(1111055000)","8,868","153","19","32","18","27","32","25","4,141","89","11","23","12","13","16","14","4,727","64","8","9","6","14","16","11"
"서울특별시 종로구 평창동(1111056000)","16,938","443","66","77","53","73","79","95","7,800","229","33","43","30","33","45","45","9,138","214","33","34","23","40","34","50"
"서울특별시 종로구 무악동(1111057000)","7,694","248","33","39","40","43","48","45","3,535","132","15","21","19","25","25","27","4,159","116","18","18","21","18","23","18"
"서울특별시 종로구 교남동(1111058000)","9,473","333","57","49","56","49","60","62","4,287","162","25","21","34","20","28","34","5,186","171","32","28","22","29","32","28"
"서울특별시 종로구 가회동(1111060000)","3,532","62","9","10","11","9","11","12","1,638","38","6","6","5","6","7","8","1,894","24","3","4","6","3","4","4"
"서울특별시 종로구 종로1.2.3.4가동(1111061500)","6,625","94","24","12","18","13","15","12","3,994","51","11","7","13","6","11","3","2,631","43","13","5","5","7","4","9"
"서울특별시 종로구 종로5.6가동(1111063000)","5,388","59","20","9","10","5","9","6","2,768","28","6","7","5","3","5","2","2,620","31","14","2","5","2","4","4"
"서울특별시 종로구 이화동(1111064000)","7,061","74","12","9","16","12","16","9","3,260","32","7","3","5","9","6","2","3,801","42","5","6","11","3","10","7"
"서울특별시 종로구 혜화동(1111065000)","15,719","211","46","32","27","38","42","26","7,491","113","29","17","13","25","21","8","8,228","98","17","15","14","13","21","18"
"서울특별시 종로구 창신제1동(1111067000)","4,372","67","12","13","12","11","13","6","2,290","35","8","6","1","7","9","4","2,082","32","4","7","11","4","4","2"
"서울특별시 종로구 창신제2동(1111068000)","7,078","72","10","13","9","14","13","13","3,622","35","5","9","4","6","5","6","3,456","37","5","4","5","8","8","7"
"서울특별시 종로구 창신제3동(1111069000)","6,048","144","33","31","17","23","19","21","2,936","68","17","14","6","11","11","9","3,112","76","16","17","11","12","8","12"
"서울특별시 종로구 숭인제1동(1111070000)","5,678","94","19","20","13","11","15","16","2,779","50","9","9","10","4","9","9","2,899","44","10","11","3","7","6","7"
"서울특별시 종로구 숭인제2동(1111071000)","10,240","142","30","30","26","18","19","19","4,994","83","17","17","15","7","12","15","5,246","59","13","13","11","11","7","4"
"서울특별시 중구 (1114000000)","117,558","2,979","629","505","416","457","480","492","56,416","1,509","322","262","214","238","222","251","61,142","1,470","307","243","202","219","258","241"
"서울특별시 중구 소공동(1114052000)","2,207","78","10","9","10","15","12","22","1,026","42","8","5","5","7","3","14","1,181","36","2","4","5","8","9","8"
"서울특별시 중구 회현동(1114054000)","4,042","73","12","8","11","16","14","12","2,045","33","6","3","7","7","5","5","1,997","40","6","5","4","9","9","7"
"서울특별시 중구 명동(1114055000)","2,494","34","10","2","4","6","6","6","1,039","17","4","1","2","4","3","3","1,455","17","6","1","2","2","3","3"
"서울특별시 중구 필동(1114057000)","4,311","79","19","10","13","16","10","11","2,203","37","9","2","6","8","4","8","2,108","42","10","8","7","8","6","3"
"서울특별시 중구 장충동(1114058000)","4,589","57","8","6","11","10","8","14","2,405","31","2","4","6","6","5","8","2,184","26","6","2","5","4","3","6"
"서울특별시 중구 광희동(1114059000)","5,722","76","20","14","14","4","15","9","2,786","44","12","8","10","2","6","6","2,936","32","8","6","4","2","9","3"
"서울특별시 중구 을지로동(1114060500)","3,050","107","39","15","9","14","14","16","1,635","56","18","9","6","10","5","8","1,415","51","21","6","3","4","9","8"
"서울특별시 중구 신당동(1114061500)","7,276","107","25","16","18","12","20","16","3,518","61","13","10","9","6","15","8","3,758","46","12","6","9","6","5","8"
"서울특별시 중구 다산동(1114062500)","12,837","194","36","37","24","32","32","33","6,187","88","15","14","12","15","15","17","6,650","106","21","23","12","17","17","16"
"서울특별시 중구 약수동(1114063500)","15,633","440","82","83","61","72","82","60","7,208","229","47","46","30","35","41","30","8,425","211","35","37","31","37","41","30"
"서울특별시 중구 청구동(1114064500)","10,631","323","72","52","59","41","46","53","4,947","154","32","29","29","24","20","20","5,684","169","40","23","30","17","26","33"
"서울특별시 중구 신당제5동(1114065000)","9,945","248","49","47","31","39","40","42","4,804","129","26","28","15","19","15","26","5,141","119","23","19","16","20","25","16"
"서울특별시 중구 동화동(1114066500)","9,737","310","57","59","36","63","36","59","4,653","166","29","35","18","35","17","32","5,084","144","28","24","18","28","19","27"
"서울특별시 중구 황학동(1114067000)","13,198","339","88","71","40","47","51","42","6,154","177","48","36","25","27","21","20","7,044","162","40","35","15","20","30","22"
"서울특별시 중구 중림동(1114068000)","11,886","514","102","76","75","70","94","97","5,806","245","53","32","34","33","47","46","6,080","269","49","44","41","37","47","51"
"서울특별시 용산구 (1117000000)","199,648","5,664","1,131","967","876","925","848","917","94,807","2,875","545","509","446","471","422","482","104,841","2,789","586","458","430","454","426","435"
"서울특별시 용산구 후암동(1117051000)","15,573","289","59","43","35","59","46","47","7,440","137","28","24","18","26","19","22","8,133","152","31","19","17","33","27","25"
"서울특별시 용산구 용산2가동(1117052000)","8,405","118","29","16","18","20","15","20","4,123","62","17","8","8","15","5","9","4,282","56","12","8","10","5","10","11"
"서울특별시 용산구 남영동(1117053000)","7,029","104","29","20","17","13","11","14","4,218","49","13","9","10","6","6","5","2,811","55","16","11","7","7","5","9"
"서울특별시 용산구 청파동(1117055500)","18,775","260","56","42","45","34","44","39","8,578","141","26","28","22","19","19","27","10,197","119","30","14","23","15","25","12"
"서울특별시 용산구 원효로제1동(1117056000)","17,021","602","125","121","93","109","70","84","7,737","302","60","61","41","52","41","47","9,284","300","65","60","52","57","29","37"
"서울특별시 용산구 원효로제2동(1117057000)","13,321","401","74","84","57","57","64","65","6,142","181","28","43","29","27","24","30","7,179","220","46","41","28","30","40","35"
"서울특별시 용산구 효창동(1117058000)","10,377","349","87","67","59","39","47","50","4,867","172","42","30","33","13","24","30","5,510","177","45","37","26","26","23","20"
"서울특별시 용산구 용문동(1117059000)","11,024","315","58","49","49","57","51","51","5,187","166","22","30","27","35","24","28","5,837","149","36","19","22","22","27","23"
"서울특별시 용산구 한강로동(1117062500)","20,860","826","157","143","141","151","109","125","9,828","430","82","73","68","81","56","70","11,032","396","75","70","73","70","53","55"
"서울특별시 용산구 이촌제1동(1117063000)","24,926","1,000","169","157","136","159","170","209","11,716","519","83","84","70","84","89","109","13,210","481","86","73","66","75","81","100"
"서울특별시 용산구 이촌제2동(1117064000)","7,695","294","72","59","45","46","39","33","3,602","152","40","31","29","22","17","13","4,093","142","32","28","16","24","22","20"
"서울특별시 용산구 이태원제1동(1117065000)","5,398","109","19","21","19","15","22","13","2,648","45","7","9","8","6","10","5","2,750","64","12","12","11","9","12","8"
"서울특별시 용산구 이태원제2동(1117066000)","8,336","156","26","27","24","25","29","25","3,961","83","15","14","15","11","16","12","4,375","73","11","13","9","14","13","13"
"서울특별시 용산구 한남동(1117068500)","13,698","472","96","74","76","76","79","71","6,391","245","45","38","36","45","42","39","7,307","227","51","36","40","31","37","32"
"서울특별시 용산구 서빙고동(1117069000)","12,167","294","55","34","51","51","44","59","5,854","142","25","22","25","20","24","26","6,313","152","30","12","26","31","20","33"
"서울특별시 용산구 보광동(1117070000)","5,043","75","20","10","11","14","8","12","2,515","49","12","5","7","9","6","10","2,528","26","8","5","4","5","2","2"
"서울특별시 성동구 (1120000000)","274,517","9,421","1,958","1,687","1,450","1,359","1,518","1,449","132,380","4,816","962","861","754","713","771","755","142,137","4,605","996","826","696","646","747","694"
"서울특별시 성동구 왕십리제2동(1120052000)","15,630","569","129","116","68","89","73","94","7,462","274","58","56","46","36","31","47","8,168","295","71","60","22","53","42","47"
"서울특별시 성동구 왕십리도선동(1120053500)","25,497","973","151","180","163","141","162","176","11,991","524","79","98","89","80","86","92","13,506","449","72","82","74","61","76","84"
"서울특별시 성동구 마장동(1120054000)","21,369","487","103","94","67","67","80","76","10,437","249","52","47","34","34","45","37","10,932","238","51","47","33","33","35","39"
"서울특별시 성동구 사근동(1120055000)","12,151","151","26","23","24","24","26","28","6,283","84","13","12","14","13","16","16","5,868","67","13","11","10","11","10","12"
"서울특별시 성동구 행당제1동(1120056000)","15,695","592","111","89","94","88","106","104","7,416","304","56","45","57","44","51","51","8,279","288","55","44","37","44","55","53"
"서울특별시 성동구 행당제2동(1120057000)","22,265","903","193","158","127","143","143","139","10,401","458","85","76","73","87","71","66","11,864","445","108","82","54","56","72","73"
"서울특별시 성동구 응봉동(1120058000)","14,363","486","109","83","59","81","73","81","6,784","258","59","43","28","44","39","45","7,579","228","50","40","31","37","34","36"
"서울특별시 성동구 금호1가동(1120059000)","14,227","566","106","108","80","88","101","83","6,749","286","49","55","34","54","51","43","7,478","280","57","53","46","34","50","40"
"서울특별시 성동구 금호2.3가동(1120061500)","20,564","848","207","147","117","113","149","115","9,748","444","119","75","47","63","79","61","10,816","404","88","72","70","50","70","54"
"서울특별시 성동구 금호4가동(1120062000)","13,743","620","133","104","103","97","87","96","6,418","324","65","54","59","53","43","50","7,325","296","68","50","44","44","44","46"
"서울특별시 성동구 옥수동(1120064500)","25,166","1,339","281","225","234","180","231","188","11,678","659","135","119","121","78","106","100","13,488","680","146","106","113","102","125","88"
"서울특별시 성동구 성수1가제1동(1120065000)","14,776","470","103","89","68","62","83","65","7,269","217","45","40","28","25","44","35","7,507","253","58","49","40","37","39","30"
"서울특별시 성동구 성수1가제2동(1120066000)","14,275","530","107","115","87","75","79","67","6,886","263","47","59","39","41","40","37","7,389","267","60","56","48","34","39","30"
"서울특별시 성동구 성수2가제1동(1120067000)","13,300","279","54","48","62","40","38","37","6,842","143","27","28","29","23","18","18","6,458","136","27","20","33","17","20","19"
"서울특별시 성동구 성수2가제3동(1120069000)","9,330","210","40","40","35","29","34","32","4,556","112","21","23","23","13","19","13","4,774","98","19","17","12","16","15","19"
"서울특별시 성동구 송정동(1120072000)","9,005","173","38","24","26","21","27","37","4,731","100","18","13","11","17","16","25","4,274","73","20","11","15","4","11","12"
"서울특별시 성동구 용답동(1120079000)","13,161","225","67","44","36","21","26","31","6,729","117","34","18","22","8","16","19","6,432","108","33","26","14","13","10","12"
"서울특별시 광진구 (1121500000)","330,905","7,201","1,446","1,134","1,084","1,093","1,157","1,287","158,151","3,668","739","573","552","558","597","649","172,754","3,533","707","561","532","535","560","638"
"서울특별시 광진구 화양동(1121571000)","22,998","170","45","30","23","24","17","31","10,811","88","22","17","10","14","10","15","12,187","82","23","13","13","10","7","16"
"서울특별시 광진구 군자동(1121573000)","18,475","262","50","38","37","40","46","51","9,035","143","27","23","21","22","20","30","9,440","119","23","15","16","18","26","21"
"서울특별시 광진구 중곡제1동(1121574000)","14,776","265","59","50","31","38","40","47","6,991","125","30","22","16","14","20","23","7,785","140","29","28","15","24","20","24"
"서울특별시 광진구 중곡제2동(1121575000)","19,686","283","48","42","49","50","40","54","9,252","136","18","23","24","23","18","30","10,434","147","30","19","25","27","22","24"
"서울특별시 광진구 중곡제3동(1121576000)","15,204","323","99","47","47","43","46","41","7,434","165","52","26","22","21","23","21","7,770","158","47","21","25","22","23","20"
"서울특별시 광진구 중곡제4동(1121577000)","26,778","467","92","69","62","76","81","87","12,907","235","43","40","29","42","39","42","13,871","232","49","29","33","34","42","45"
"서울특별시 광진구 능동(1121578000)","10,614","197","45","29","33","32","31","27","4,900","102","20","14","18","18","18","14","5,714","95","25","15","15","14","13","13"
"서울특별시 광진구 광장동(1121581000)","32,836","908","135","108","129","136","190","210","15,836","481","71","56","64","75","108","107","17,000","427","64","52","65","61","82","103"
"서울특별시 광진구 자양제1동(1121582000)","21,442","305","70","61","40","42","47","45","10,302","152","39","21","23","25","26","18","11,140","153","31","40","17","17","21","27"
"서울특별시 광진구 자양제2동(1121583000)","26,275","1,021","198","178","167","177","155","146","12,637","510","108","88","78","87","78","71","13,638","511","90","90","89","90","77","75"
"서울특별시 광진구 자양제3동(1121584000)","26,564","949","186","143","154","124","165","177","12,722","489","93","79","68","66","88","95","13,842","460","93","64","86","58","77","82"
"서울특별시 광진구 자양제4동(1121584700)","19,873","415","90","85","62","58","46","74","9,674","195","39","40","35","22","27","32","10,199","220","51","45","27","36","19","42"
"서울특별시 광진구 구의제1동(1121585000)","23,190","378","79","62","59","64","49","65","10,899","194","47","33","27","31","25","31","12,291","184","32","29","32","33","24","34"
"서울특별시 광진구 구의제2동(1121586000)","24,774","503","98","76","77","74","72","106","11,780","269","52","32","50","42","34","59","12,994","234","46","44","27","32","38","47"
"서울특별시 광진구 구의제3동(1121587000)","27,420","755","152","116","114","115","132","126","12,971","384","78","59","67","56","63","61","14,449","371","74","57","47","59","69","65"
"서울특별시 동대문구 (1123000000)","352,848","10,572","2,170","1,812","1,623","1,691","1,563","1,713","171,755","5,447","1,125","961","860","858","808","835","181,093","5,125","1,045","851","763","833","755","878"
"서울특별시 동대문구 신설동(1123051500)","16,383","452","118","91","58","69","56","60","8,068","229","61","51","27","34","26","30","8,315","223","57","40","31","35","30","30"
"서울특별시 동대문구 용두동(1123053300)","22,698","509","114","96","69","83","66","81","11,122","257","56","56","36","37","28","44","11,576","252","58","40","33","46","38","37"
"서울특별시 동대문구 제기동(1123054500)","22,176","407","71","86","61","61","61","67","11,417","197","37","41","36","27","31","25","10,759","210","34","45","25","34","30","42"
"서울특별시 동대문구 전농제1동(1123056000)","32,499","982","182","168","148","167","145","172","16,041","484","89","88","80","90","72","65","16,458","498","93","80","68","77","73","107"
"서울특별시 동대문구 전농제2동(1123057000)","17,148","510","97","75","91","99","66","82","8,151","254","49","37","44","43","40","41","8,997","256","48","38","47","56","26","41"
"서울특별시 동대문구 답십리제1동(1123060000)","27,536","1,165","262","196","156","179","174","198","13,126","605","129","104","72","102","84","114","14,410","560","133","92","84","77","90","84"
"서울특별시 동대문구 답십리제2동(1123061000)","27,164","906","187","179","139","136","119","146","12,997","466","111","91","78","64","58","64","14,167","440","76","88","61","72","61","82"
"서울특별시 동대문구 장안제1동(1123065000)","37,060","925","154","159","143","149","150","170","18,041","505","83","86","86","80","83","87","19,019","420","71","73","57","69","67","83"
"서울특별시 동대문구 장안제2동(1123066000)","32,945","1,123","177","152","184","198","189","223","16,189","594","92","86","91","101","108","116","16,756","529","85","66","93","97","81","107"
"서울특별시 동대문구 청량리동(1123070500)","18,173","351","69","55","66","58","44","59","8,867","174","33","29","33","26","28","25","9,306","177","36","26","33","32","16","34"
"서울특별시 동대문구 회기동(1123071000)","10,311","153","43","28","28","14","13","27","4,872","77","19","18","15","8","7","10","5,439","76","24","10","13","6","6","17"
"서울특별시 동대문구 휘경제1동(1123072000)","16,799","685","172","111","111","120","95","76","7,845","335","86","55","60","59","44","31","8,954","350","86","56","51","61","51","45"
"서울특별시 동대문구 휘경제2동(1123073000)","23,520","465","108","91","67","71","62","66","11,718","248","57","48","30","42","39","32","11,802","217","51","43","37","29","23","34"
"서울특별시 동대문구 이문제1동(1123074000)","30,528","1,461","323","235","238","216","244","205","14,699","755","173","117","131","105","123","106","15,829","706","150","118","107","111","121","99"
"서울특별시 동대문구 이문제2동(1123075000)","17,908","478","93","90","64","71","79","81","8,602","267","50","54","41","40","37","45","9,306","211","43","36","23","31","42","36"
"서울특별시 중랑구 (1126000000)","376,386","9,347","1,863","1,627","1,424","1,546","1,475","1,412","183,583","4,777","971","837","736","785","689","759","192,803","4,570","892","790","688","761","786","653"
"서울특별시 중랑구 면목제2동(1126052000)","22,849","434","85","98","75","63","58","55","11,341","217","44","48","43","25","25","32","11,508","217","41","50","32","38","33","23"
"서울특별시 중랑구 면목제4동(1126054000)","17,451","372","65","58","64","62","55","68","8,647","195","28","31","38","32","25","41","8,804","177","37","27","26","30","30","27"
"서울특별시 중랑구 면목제5동(1126055000)","13,753","523","92","79","75","92","84","101","6,806","273","53","39","43","41","41","56","6,947","250","39","40","32","51","43","45"
"서울특별시 중랑구 면목본동(1126056500)","31,534","529","119","99","87","80","81","63","15,512","282","70","55","46","44","35","32","16,022","247","49","44","41","36","46","31"
"서울특별시 중랑구 면목제7동(1126057000)","20,402","483","93","87","69","82","87","65","10,087","257","48","43","42","45","42","37","10,315","226","45","44","27","37","45","28"
"서울특별시 중랑구 면목제3.8동(1126057500)","23,424","441","90","87","68","69","63","64","11,554","229","47","45","33","33","31","40","11,870","212","43","42","35","36","32","24"
"서울특별시 중랑구 상봉제1동(1126058000)","22,746","734","147","138","98","114","110","127","10,977","370","86","68","54","63","47","52","11,769","364","61","70","44","51","63","75"
"서울특별시 중랑구 상봉제2동(1126059000)","21,862","492","126","108","86","59","72","41","10,231","241","71","53","41","29","27","20","11,631","251","55","55","45","30","45","21"
"서울특별시 중랑구 중화제1동(1126060000)","17,843","416","101","71","57","74","52","61","8,783","210","48","40","26","35","26","35","9,060","206","53","31","31","39","26","26"
"서울특별시 중랑구 중화제2동(1126061000)","25,530","631","124","104","97","114","100","92","12,896","301","53","47","54","53","47","47","12,634","330","71","57","43","61","53","45"
"서울특별시 중랑구 묵제1동(1126062000)","32,844","661","115","95","99","120","125","107","15,595","331","56","49","47","60","58","61","17,249","330","59","46","52","60","67","46"
"서울특별시 중랑구 묵제2동(1126063000)","17,541","369","68","65","58","54","66","58","8,519","201","33","39","27","34","33","35","9,022","168","35","26","31","20","33","23"
"서울특별시 중랑구 망우본동(1126065500)","37,965","1,471","281","250","220","262","249","209","18,627","764","140","138","114","135","123","114","19,338","707","141","112","106","127","126","95"
"서울특별시 중랑구 망우제3동(1126066000)","15,146","238","42","45","35","44","37","35","7,574","116","25","19","17","21","12","22","7,572","122","17","26","18","23","25","13"
"서울특별시 중랑구 신내1동(1126068000)","36,588","1,054","192","148","153","194","159","208","17,547","528","96","80","68","100","77","107","19,041","526","96","68","85","94","82","101"
"서울특별시 중랑구 신내2동(1126069000)","18,908","499","123","95","83","63","77","58","8,887","262","73","43","43","35","40","28","10,021","237","50","52","40","28","37","30"
"서울특별시 성북구 (1129000000)","421,762","11,447","2,045","1,909","1,778","1,759","1,911","2,045","201,144","5,910","1,032","989","942","901","982","1,064","220,618","5,537","1,013","920","836","858","929","981"
"서울특별시 성북구 성북동(1129052500)","15,513","305","56","44","57","51","44","53","7,165","158","26","24","33","24","23","28","8,348","147","30","20","24","27","21","25"
"서울특별시 성북구 삼선동(1129055500)","21,574","349","61","59","54","45","63","67","10,120","175","29","35","26","17","35","33","11,454","174","32","24","28","28","28","34"
"서울특별시 성북구 동선동(1129057500)","14,889","179","30","36","29","24","26","34","5,916","81","14","14","16","7","14","16","8,973","98","16","22","13","17","12","18"
"서울특별시 성북구 돈암제1동(1129058000)","13,651","363","75","53","73","41","56","65","6,312","203","35","35","40","24","31","38","7,339","160","40","18","33","17","25","27"
"서울특별시 성북구 돈암제2동(1129059000)","22,781","751","136","123","83","123","153","133","10,743","360","65","58","40","58","71","68","12,038","391","71","65","43","65","82","65"
"서울특별시 성북구 안암동(1129060000)","15,621","189","43","28","29","22","33","34","7,815","99","24","16","15","11","14","19","7,806","90","19","12","14","11","19","15"
"서울특별시 성북구 보문동(1129061000)","15,700","470","110","83","68","71","65","73","7,516","239","53","48","33","38","29","38","8,184","231","57","35","35","33","36","35"
"서울특별시 성북구 정릉제1동(1129062000)","17,474","547","87","99","65","94","103","99","8,340","281","38","46","41","51","55","50","9,134","266","49","53","24","43","48","49"
"서울특별시 성북구 정릉제2동(1129063000)","21,445","547","72","90","86","101","84","114","10,212","263","37","47","39","47","38","55","11,233","284","35","43","47","54","46","59"
"서울특별시 성북구 정릉제3동(1129064000)","13,856","206","45","44","26","32","32","27","6,787","101","19","22","11","14","19","16","7,069","105","26","22","15","18","13","11"
"서울특별시 성북구 정릉제4동(1129065000)","23,406","543","102","77","88","81","101","94","11,083","268","46","36","36","41","59","50","12,323","275","56","41","52","40","42","44"
"서울특별시 성북구 길음제1동(1129066000)","35,307","1,255","206","164","192","207","215","271","16,716","645","109","88","98","96","110","144","18,591","610","97","76","94","111","105","127"
"서울특별시 성북구 길음제2동(1129068500)","21,358","861","126","150","150","144","145","146","10,164","448","71","81","74","77","64","81","11,194","413","55","69","76","67","81","65"
"서울특별시 성북구 종암동(1129070500)","36,707","944","174","160","149","136","141","184","18,044","501","92","84","88","70","74","93","18,663","443","82","76","61","66","67","91"
"서울특별시 성북구 월곡제1동(1129071500)","24,433","742","112","120","138","119","124","129","11,715","378","58","55","75","58","66","66","12,718","364","54","65","63","61","58","63"
"서울특별시 성북구 월곡제2동(1129072500)","18,413","389","93","62","55","43","63","73","8,669","218","57","32","31","24","33","41","9,744","171","36","30","24","19","30","32"
"서울특별시 성북구 장위제1동(1129076000)","22,526","579","86","109","95","96","86","107","10,976","290","41","58","50","56","40","45","11,550","289","45","51","45","40","46","62"
"서울특별시 성북구 장위제2동(1129077000)","15,678","467","107","91","68","69","67","65","7,679","259","61","44","42","38","38","36","7,999","208","46","47","26","31","29","29"
"서울특별시 성북구 장위제3동(1129078000)","18,710","943","156","156","144","149","178","160","9,143","505","72","88","70","89","95","91","9,567","438","84","68","74","60","83","69"
"서울특별시 성북구 석관동(1129081000)","32,720","818","168","161","129","111","132","117","16,029","438","85","78","84","61","74","56","16,691","380","83","83","45","50","58","61"
"서울특별시 강북구 (1130500000)","278,041","4,893","885","831","757","777","802","841","133,590","2,448","462","433","371","374","386","422","144,451","2,445","423","398","386","403","416","419"
"서울특별시 강북구 삼양동(1130553400)","24,226","556","107","90","97","96","97","69","11,891","279","64","44","51","38","44","38","12,335","277","43","46","46","58","53","31"
"서울특별시 강북구 미아동(1130553500)","20,128","216","53","36","30","27","30","40","9,620","114","29","16","17","14","16","22","10,508","102","24","20","13","13","14","18"
"서울특별시 강북구 송중동(1130554500)","27,189","551","91","106","101","92","86","75","12,937","280","45","52","48","51","42","42","14,252","271","46","54","53","41","44","33"
"서울특별시 강북구 송천동(1130555500)","22,649","368","78","53","58","56","66","57","11,145","192","46","23","31","32","31","29","11,504","176","32","30","27","24","35","28"
"서울특별시 강북구 삼각산동(1130557500)","29,803","990","150","170","138","148","176","208","14,250","483","70","87","69","73","87","97","15,553","507","80","83","69","75","89","111"
"서울특별시 강북구 번1동(1130559500)","15,932","209","39","37","29","35","34","35","7,810","103","20","22","13","9","20","19","8,122","106","19","15","16","26","14","16"
"서울특별시 강북구 번2동(1130560300)","14,155","183","28","27","34","28","34","32","6,744","97","19","12","17","17","18","14","7,411","86","9","15","17","11","16","18"
"서울특별시 강북구 번3동(1130560800)","15,343","292","59","51","56","46","39","41","7,058","137","25","29","25","22","18","18","8,285","155","34","22","31","24","21","23"
"서울특별시 강북구 수유1동(1130561500)","19,241","276","63","42","37","48","38","48","9,386","137","35","24","12","22","16","28","9,855","139","28","18","25","26","22","20"
"서울특별시 강북구 수유2동(1130562500)","19,775","323","54","61","42","55","54","57","9,332","179","33","35","28","27","25","31","10,443","144","21","26","14","28","29","26"
"서울특별시 강북구 수유3동(1130563500)","22,303","202","40","32","33","32","32","33","10,779","111","20","24","16","14","17","20","11,524","91","20","8","17","18","15","13"
"서울특별시 강북구 우이동(1130564500)","19,364","347","63","65","51","52","57","59","9,194","162","28","36","22","23","25","28","10,170","185","35","29","29","29","32","31"
"서울특별시 강북구 인수동(1130566000)","27,933","380","60","61","51","62","59","87","13,444","174","28","29","22","32","27","36","14,489","206","32","32","29","30","32","51"
"서울특별시 도봉구 (1132000000)","298,225","6,026","1,074","978","910","934","1,090","1,040","143,845","3,108","556","495","488","464","559","546","154,380","2,918","518","483","422","470","531","494"
"서울특별시 도봉구 창제1동(1132051100)","22,638","497","108","85","79","70","74","81","10,705","243","46","49","44","28","37","39","11,933","254","62","36","35","42","37","42"
"서울특별시 도봉구 창제2동(1132051200)","27,471","552","98","85","78","88","94","109","13,231","281","52","42","44","44","43","56","14,240","271","46","43","34","44","51","53"
"서울특별시 도봉구 창제3동(1132051300)","12,554","180","38","27","24","36","31","24","6,260","89","20","9","13","18","15","14","6,294","91","18","18","11","18","16","10"
"서울특별시 도봉구 창제4동(1132051400)","25,856","720","141","115","97","121","127","119","12,290","372","74","58","53","51","70","66","13,566","348","67","57","44","70","57","53"
"서울특별시 도봉구 창제5동(1132051500)","23,234","532","101","90","94","68","94","85","11,006","281","57","44","48","36","54","42","12,228","251","44","46","46","32","40","43"
"서울특별시 도봉구 도봉제1동(1132052100)","19,352","214","42","37","29","33","36","37","9,686","107","21","21","12","18","18","17","9,666","107","21","16","17","15","18","20"
"서울특별시 도봉구 도봉제2동(1132052200)","25,568","716","133","118","119","115","125","106","12,380","391","76","62","67","59","70","57","13,188","325","57","56","52","56","55","49"
"서울특별시 도봉구 쌍문제1동(1132066000)","20,495","381","60","67","58","49","82","65","9,714","187","29","34","21","26","48","29","10,781","194","31","33","37","23","34","36"
"서울특별시 도봉구 쌍문제2동(1132067000)","17,257","319","53","49","52","55","61","49","8,243","158","27","27","27","27","25","25","9,014","161","26","22","25","28","36","24"
"서울특별시 도봉구 쌍문제3동(1132068000)","15,893","290","61","45","43","32","53","56","7,571","141","32","23","26","16","22","22","8,322","149","29","22","17","16","31","34"
"서울특별시 도봉구 쌍문제4동(1132068100)","17,534","384","51","72","57","60","76","68","8,242","189","25","26","33","29","41","35","9,292","195","26","46","24","31","35","33"
"서울특별시 도봉구 방학제1동(1132069000)","27,706","452","76","61","56","81","96","82","13,657","248","43","41","30","41","47","46","14,049","204","33","20","26","40","49","36"
"서울특별시 도봉구 방학제2동(1132070000)","17,426","233","26","42","35","42","35","53","8,724","117","11","19","20","24","14","29","8,702","116","15","23","15","18","21","24"
"서울특별시 도봉구 방학제3동(1132071000)","25,241","556","86","85","89","84","106","106","12,136","304","43","40","50","47","55","69","13,105","252","43","45","39","37","51","37"
"서울특별시 노원구 (1135000000)","481,053","12,091","2,419","2,042","1,821","1,881","1,921","2,007","229,866","6,226","1,220","1,045","955","980","959","1,067","251,187","5,865","1,199","997","866","901","962","940"
"서울특별시 노원구 월계1동(1135056000)","20,226","441","91","80","64","68","70","68","10,361","225","47","40","28","35","35","40","9,865","216","44","40","36","33","35","28"
"서울특별시 노원구 월계2동(1135057000)","24,513","572","89","102","93","85","100","103","11,716","297","45","53","51","41","52","55","12,797","275","44","49","42","44","48","48"
"서울특별시 노원구 월계3동(1135058000)","27,597","932","208","181","138","127","144","134","13,103","473","101","91","87","65","62","67","14,494","459","107","90","51","62","82","67"
"서울특별시 노원구 공릉1동(1135059500)","35,241","634","120","112","101","84","101","116","16,953","321","58","61","49","46","51","56","18,288","313","62","51","52","38","50","60"
