"행정구역","2026년06월_계_총인구수","2026년06월_계_연령구간인구수","2026년06월_계_0세","2026년06월_계_1세","2026년06월_계_2세","2026년06월_계_3세","2026년06월_계_4세","2026년06월_계_5세","2026년06월_남_총인구수","2026년06월_남_연령구간인구수","2026년06월_남_0세","2026년06월_남_1세","2026년06월_남_2세","2026년06월_남_3세","2026년06월_남_4세","2026년06월_남_5세","2026년06월_여_총인구수","2026년06월_여_연령구간인구수","2026년06월_여_0세","2026년06월_여_1세","2026년06월_여_2세","2026년06월_여_3세","2026년06월_여_4세","2026년06월_여_5세"
"대전광역시 중구 문화1동(3014072000)","20,069","464","70","65","71","79","68","111","9,625","240","34","29","41","40","38","58","10,444","224","36","36","30","39","30","53"
"대전광역시 중구 문화2동(3014073000)","10,855","121","16","15","19","17","19","35","5,197","66","10","7","10","9","11","19","5,658","55","6","8","9","8","8","16"
"대전광역시 중구 산성동(3014074000)","24,112","345","57","45","60","52","62","69","12,185","175","26","27","29","19","35","39","11,927","170","31","18","31","33","27","30"
"대전광역시 서구 (3017000000)","464,359","14,365","2,585","2,399","2,173","2,386","2,332","2,490","227,413","7,404","1,340","1,233","1,129","1,241","1,198","1,263","236,946","6,961","1,245","1,166","1,044","1,145","1,134","1,227"
"대전광역시 서구 복수동(3017051000)","20,306","578","78","98","87","100","118","97","10,042","298","49","50","46","46","53","54","10,264","280","29","48","41","54","65","43"
"대전광역시 서구 도마1동(3017052000)","17,842","563","110","101","95","97","92","68","8,917","299","65","55","42","52","47","38","8,925","264","45","46","53","45","45","30"
"대전광역시 서구 도마2동(3017053000)","20,020","731","120","140","130","121","112","108","9,960","368","56","70","59","67","53","63","10,060","363","64","70","71","54","59","45"
"대전광역시 서구 정림동(3017053500)","15,145","328","60","52","46","57","48","65","7,256","171","27","29","34","27","25","29","7,889","157","33","23","12","30","23","36"
"대전광역시 서구 변동(3017054000)","12,095","232","42","33","30","43","45","39","6,086","120","21","20","17","21","22","19","6,009","112","21","13","13","22","23","20"
"대전광역시 서구 용문동(3017055000)","19,204","897","164","159","142","152","128","152","9,323","458","79","96","70","74","68","71","9,881","439","85","63","72","78","60","81"
"대전광역시 서구 탄방동(3017055500)","31,199","1,158","223","188","183","195","180","189","15,105","608","112","93","102","104","99","98","16,094","550","111","95","81","91","81","91"
"대전광역시 서구 괴정동(3017056000)","18,138","314","71","55","44","50","39","55","8,858","145","33","23","23","25","17","24","9,280","169","38","32","21","25","22","31"
"대전광역시 서구 가장동(3017057000)","10,238","232","36","42","39","38","32","45","4,902","123","18","23","21","23","15","23","5,336","109","18","19","18","15","17","22"
"대전광역시 서구 내동(3017057500)","21,411","503","88","83","82","79","79","92","10,188","268","50","42","40","49","37","50","11,223","235","38","41","42","30","42","42"
"대전광역시 서구 갈마1동(3017058100)","20,566","375","92","59","58","62","43","61","10,416","193","47","34","35","25","24","28","10,150","182","45","25","23","37","19","33"
"대전광역시 서구 갈마2동(3017058200)","22,992","469","112","75","74","78","63","67","11,562","246","67","32","39","44","33","31","11,430","223","45","43","35","34","30","36"
"대전광역시 서구 월평1동(3017058600)","11,017","147","33","24","19","23","28","20","6,035","74","14","11","11","12","20","6","4,982","73","19","13","8","11","8","14"
